index,Xt,Yt,Zt,Vxt,Vyt,Vzt,X0,Y0,Z0,Vx0,Vy0,Vz0,M_mw(1e12 M_sun),M_lmc(1e10 M_sun),concentration(c),flattening(q)
68,-1.4,-42.3,-26.55,-58.36,-227.22,243.44,59.65,382.05,-79.0,-19.94,-165.68,-12.46,0.695,14.466,13.168,0.648
69,-0.9,-42.5,-28.36,-56.1,-225.31,226.67,47.04,349.74,-30.48,-11.9,-134.84,-38.92,0.796,20.779,8.438,0.843
70,-1.05,-41.58,-28.58,-58.35,-235.1,233.23,58.17,362.95,-51.33,-16.36,-143.33,-33.86,1.142,11.645,5.873,0.594
71,-1.21,-44.15,-28.77,-61.17,-237.57,260.88,28.86,284.72,66.94,3.86,-52.39,-90.1,1.419,20.279,11.201,0.636
72,-0.61,-42.44,-30.16,-59.72,-236.63,257.71,26.13,266.54,67.12,4.85,-41.24,-88.29,1.327,10.399,14.29,0.632
73,-1.13,-41.81,-26.2,-60.25,-224.81,233.77,61.87,372.05,-86.5,-20.62,-162.37,-8.71,0.752,8.781,9.112,0.739
74,-1.42,-40.68,-27.3,-56.26,-226.81,221.67,27.39,267.72,59.26,3.18,-53.2,-77.91,1.113,13.809,8.413,0.851
75,-1.36,-42.21,-25.8,-59.08,-227.29,201.71,63.98,389.95,-103.1,-23.87,-181.93,8.35,0.547,8.982,6.995,1.027
76,-0.69,-43.9,-29.88,-55.04,-230.85,271.39,32.97,299.66,35.21,1.06,-71.34,-82.95,1.33,14.662,14.161,0.551
77,-1.41,-40.89,-27.0,-59.74,-234.47,248.88,52.79,332.53,-17.05,-10.35,-107.67,-58.77,1.564,9.69,5.426,0.51
78,-1.2,-40.94,-29.72,-54.71,-229.32,228.92,50.36,350.59,-41.46,-11.82,-134.76,-36.46,0.957,16.206,6.939,0.763
79,-0.97,-41.52,-26.41,-61.0,-223.88,244.25,49.74,346.59,-30.94,-11.51,-129.13,-41.97,0.914,18.453,8.945,0.757
80,-0.56,-41.81,-27.52,-58.23,-220.34,216.28,52.41,362.95,-67.52,-16.85,-156.24,-14.81,0.601,9.984,11.556,0.98
81,-0.75,-40.65,-30.37,-61.53,-232.95,244.7,70.53,397.73,-128.13,-26.26,-179.78,11.37,0.713,20.759,9.012,0.669
82,-1.33,-40.2,-27.33,-54.38,-218.63,217.84,48.09,347.64,-48.08,-12.49,-141.35,-26.17,0.673,13.049,9.507,0.996
83,-1.55,-39.79,-28.04,-57.72,-228.21,248.49,45.42,336.71,-12.23,-9.52,-120.05,-49.59,0.842,15.267,14.595,0.796
84,-0.62,-44.51,-28.34,-63.2,-224.89,249.72,70.61,388.93,-130.86,-26.07,-177.61,11.43,0.771,7.362,13.206,0.536
85,-1.32,-40.25,-28.43,-58.44,-230.16,233.14,44.16,341.55,-9.7,-8.99,-124.34,-48.95,0.822,19.923,10.835,0.878
86,-0.84,-41.14,-27.35,-61.08,-231.73,253.07,62.11,389.89,-97.96,-20.78,-168.6,-6.94,0.833,20.072,8.82,0.654
87,-0.24,-38.01,-27.81,-62.97,-188.09,196.31,49.83,305.96,-63.41,-11.51,-121.01,-19.72,0.597,17.964,5.836,1.328
88,-1.04,-39.56,-30.18,-57.08,-239.42,273.49,42.17,323.73,7.16,-5.0,-94.71,-67.73,1.237,17.502,13.308,0.574
89,-1.0,-40.67,-30.11,-58.1,-245.41,234.09,22.31,246.07,96.81,6.9,-25.72,-87.46,1.2,13.096,13.744,0.699
90,-1.58,-39.12,-27.9,-60.13,-224.47,256.44,80.34,406.68,-202.26,-33.85,-196.5,55.11,0.532,13.216,13.308,0.549
